Time,Open,High,Low,Latest,Change,%Change,Volume
2026-03-23,0.03716,0.03716,0.03716,0.03716,0.00029,+0.79%,0
2026-03-19,0.03687,0.03687,0.03687,0.03687,0,0.00%,0
2026-03-17,0.03687,0.03687,0.03687,0.03687,0.00001,+0.03%,0
2026-03-16,0.03686,0.03686,0.03686,0.03686,0.00003,+0.08%,0
2026-03-13,0.03683,0.03683,0.03683,0.03683,0.00009,+0.24%,0
2026-03-12,0.03674,0.03674,0.03674,0.03674,0.00003,+0.08%,0
2026-03-11,0.03671,0.03671,0.03671,0.03671,-0.00004,-0.11%,0
2026-03-10,0.03675,0.03675,0.03675,0.03675,0.00013,+0.35%,0
2026-03-09,0.03662,0.03662,0.03662,0.03662,-0.00007,-0.19%,0
2026-03-06,0.03669,0.03669,0.03669,0.03669,0,0.00%,0
2026-03-05,0.03669,0.03669,0.03669,0.03669,0,0.00%,0
2026-03-04,0.03669,0.03669,0.03669,0.03669,0.00001,+0.03%,0
2026-03-03,0.03668,0.03668,0.03668,0.03668,0.00011,+0.30%,0
2026-03-02,0.03657,0.03657,0.03657,0.03657,-0.00009,-0.25%,0
2026-02-27,0.03666,0.03666,0.03666,0.03666,-0.00001,-0.03%,0
2026-02-26,0.03667,0.03667,0.03667,0.03667,-0.00006,-0.16%,0
2026-02-25,0.03673,0.03673,0.03673,0.03673,0,0.00%,0
2026-02-24,0.03673,0.03673,0.03673,0.03673,0.00004,+0.11%,0
2026-02-23,0.03669,0.03669,0.03669,0.03669,0.00004,+0.11%,0
2026-02-20,0.03665,0.03665,0.03665,0.03665,0.00001,+0.03%,0
2026-02-19,0.03664,0.03664,0.03664,0.03664,0.00008,+0.22%,0
2026-02-18,0.03656,0.03656,0.03656,0.03656,0.00004,+0.11%,0
2026-02-17,0.03652,0.03652,0.03652,0.03652,-0.00003,-0.08%,0
2026-02-13,0.03655,0.03655,0.03655,0.03655,0.00003,+0.08%,0
2026-02-12,0.03652,0.03652,0.03652,0.03652,0.00019,+0.52%,0
2026-02-11,0.03633,0.03633,0.03633,0.03633,-0.00006,-0.16%,0
2026-02-10,0.03639,0.03639,0.03639,0.03639,-0.00004,-0.11%,0
2026-02-09,0.03643,0.03643,0.03643,0.03643,0.00003,+0.08%,0
2026-02-06,0.0364,0.0364,0.0364,0.0364,-0.0002,-0.55%,0
2026-02-05,0.0366,0.0366,0.0366,0.0366,-0.00006,-0.16%,0
2026-02-04,0.03666,0.03666,0.03666,0.03666,0.00003,+0.08%,0
2026-02-03,0.03663,0.03663,0.03663,0.03663,0.00002,+0.05%,0
2026-02-02,0.03661,0.03661,0.03661,0.03661,0.00001,+0.03%,0
2026-01-30,0.0366,0.0366,0.0366,0.0366,-0.00004,-0.11%,0
2026-01-29,0.03664,0.03664,0.03664,0.03664,-0.00003,-0.08%,0
2026-01-28,0.03667,0.03667,0.03667,0.03667,-0.00004,-0.11%,0
2026-01-27,0.03671,0.03671,0.03671,0.03671,0,0.00%,0
2026-01-26,0.03671,0.03671,0.03671,0.03671,0.00001,+0.03%,0
2026-01-23,0.0367,0.0367,0.0367,0.0367,0.00002,+0.05%,0
2026-01-22,0.03668,0.03668,0.03668,0.03668,-0.00003,-0.08%,0
2026-01-21,0.03671,0.03671,0.03671,0.03671,0.00002,+0.05%,0
2026-01-20,0.03669,0.03669,0.03669,0.03669,-0.00001,-0.03%,0
2026-01-16,0.0367,0.0367,0.0367,0.0367,0.00002,+0.05%,0
2026-01-15,0.03668,0.03668,0.03668,0.03668,-0.00003,-0.08%,0
2026-01-14,0.03671,0.03671,0.03671,0.03671,-0.00001,-0.03%,0
2026-01-13,0.03672,0.03672,0.03672,0.03672,0.00005,+0.14%,0
2026-01-12,0.03667,0.03667,0.03667,0.03667,0.00015,+0.41%,0
2026-01-09,0.03652,0.03652,0.03652,0.03652,0.00002,+0.05%,0
2026-01-08,0.0365,0.0365,0.0365,0.0365,0.00002,+0.05%,0
2026-01-07,0.03648,0.03648,0.03648,0.03648,0.00002,+0.05%,0
2026-01-06,0.03646,0.03646,0.03646,0.03646,0,0.00%,0
2026-01-05,0.03646,0.03646,0.03646,0.03646,-0.00004,-0.11%,0
2026-01-02,0.0365,0.0365,0.0365,0.0365,-0.00002,-0.05%,0
2025-12-31,0.03652,0.03652,0.03652,0.03652,-0.00009,-0.25%,0
2025-12-30,0.03661,0.03661,0.03661,0.03661,-0.00011,-0.30%,0
2025-12-29,0.03672,0.03672,0.03672,0.03672,-0.00014,-0.38%,0
2025-12-26,0.03686,0.03686,0.03686,0.03686,-0.00004,-0.11%,0
2025-12-24,0.0369,0.0369,0.0369,0.0369,0.00001,+0.03%,0
2025-12-23,0.03689,0.03689,0.03689,0.03689,0,0.00%,0
2025-12-22,0.03689,0.03689,0.03689,0.03689,0.00004,+0.11%,0
2025-12-19,0.03685,0.03685,0.03685,0.03685,-0.0001,-0.27%,0
2025-12-18,0.03695,0.03695,0.03695,0.03695,-0.00006,-0.16%,0
2025-12-17,0.03701,0.03701,0.03701,0.03701,0,0.00%,0
2025-12-16,0.03701,0.03701,0.03701,0.03701,-0.00004,-0.11%,0
2025-12-15,0.03705,0.03705,0.03705,0.03705,-0.00001,-0.03%,0
2025-12-12,0.03706,0.03706,0.03706,0.03706,-0.00017,-0.46%,0
2025-12-11,0.03723,0.03723,0.03723,0.03723,-0.0001,-0.27%,0
2025-12-10,0.03733,0.03733,0.03733,0.03733,-0.00003,-0.08%,0
2025-12-09,0.03736,0.03736,0.03736,0.03736,-0.00002,-0.05%,0
2025-12-08,0.03738,0.03738,0.03738,0.03738,0,0.00%,0
2025-12-05,0.03738,0.03738,0.03738,0.03738,0,0.00%,0
2025-12-04,0.03738,0.03738,0.03738,0.03738,-0.00022,-0.59%,0
2025-12-03,0.0376,0.0376,0.0376,0.0376,-0.00013,-0.34%,0
2025-12-01,0.03773,0.03773,0.03773,0.03773,-0.00014,-0.37%,0
2025-11-28,0.03787,0.03787,0.03787,0.03787,-0.00005,-0.13%,0
2025-11-26,0.03792,0.03792,0.03792,0.03792,-0.0003,-0.78%,0
2025-11-25,0.03822,0.03822,0.03822,0.03822,-0.00013,-0.34%,0
2025-11-24,0.03835,0.03835,0.03835,0.03835,-0.00044,-1.13%,0
2025-11-21,0.03879,0.03879,0.03879,0.03879,0.00002,+0.05%,0
2025-11-20,0.03877,0.03877,0.03877,0.03877,0.00008,+0.21%,0
2025-11-19,0.03869,0.03869,0.03869,0.03869,-0.0002,-0.51%,0
2025-11-18,0.03889,0.03889,0.03889,0.03889,0.00011,+0.28%,0
2025-11-17,0.03878,0.03878,0.03878,0.03878,0.00003,+0.08%,0
2025-11-14,0.03875,0.03875,0.03875,0.03875,0.00023,+0.60%,0
2025-11-13,0.03852,0.03852,0.03852,0.03852,-0.00001,-0.03%,0
2025-11-12,0.03853,0.03853,0.03853,0.03853,0.00012,+0.31%,0
2025-11-10,0.03841,0.03841,0.03841,0.03841,-0.00003,-0.08%,0
2025-11-07,0.03844,0.03844,0.03844,0.03844,-0.00021,-0.54%,0
2025-11-06,0.03865,0.03865,0.03865,0.03865,-0.00005,-0.13%,0
2025-11-05,0.0387,0.0387,0.0387,0.0387,-0.00017,-0.44%,0
2025-11-04,0.03887,0.03887,0.03887,0.03887,-0.00014,-0.36%,0
2025-11-03,0.03901,0.03901,0.03901,0.03901,0.00012,+0.31%,0
2025-10-31,0.03889,0.03889,0.03889,0.03889,0.00035,+0.91%,0
2025-10-30,0.03854,0.03854,0.03854,0.03854,0.00014,+0.36%,0
2025-10-29,0.0384,0.0384,0.0384,0.0384,-0.00019,-0.49%,0
2025-10-24,0.03859,0.03859,0.03859,0.03859,0.00001,+0.03%,0
2025-10-23,0.03858,0.03858,0.03858,0.03858,-0.00007,-0.18%,0
2025-10-22,0.03865,0.03865,0.03865,0.03865,0.00005,+0.13%,0
2025-10-21,0.0386,0.0386,0.0386,0.0386,0.00003,+0.08%,0
2025-10-20,0.03857,0.03857,0.03857,0.03857,-0.00013,-0.34%,0
2025-10-17,0.0387,0.0387,0.0387,0.0387,-0.00014,-0.36%,0
2025-10-16,0.03884,0.03884,0.03884,0.03884,0.00002,+0.05%,0
2025-10-15,0.03882,0.03882,0.03882,0.03882,-0.00012,-0.31%,0
2025-10-14,0.03894,0.03894,0.03894,0.03894,-0.0001,-0.26%,0
2025-10-10,0.03904,0.03904,0.03904,0.03904,-0.00008,-0.20%,0
2025-10-09,0.03912,0.03912,0.03912,0.03912,-0.00015,-0.38%,0
2025-10-08,0.03927,0.03927,0.03927,0.03927,-0.00008,-0.20%,0
2025-10-07,0.03935,0.03935,0.03935,0.03935,-0.00002,-0.05%,0
2025-10-06,0.03937,0.03937,0.03937,0.03937,0.00002,+0.05%,0
2025-10-03,0.03935,0.03935,0.03935,0.03935,0.00001,+0.03%,0
2025-10-02,0.03934,0.03934,0.03934,0.03934,-0.00023,-0.58%,0
